setting,variant,n,best_mean,best_std,final_mean,final_std,drop_mean,drop_std
cifar_clean,none,5,0.72092,0.0017880156598866644,0.69016,0.03410935355587967,0.03076000000000001,0.03581972920053976
cifar_clean,trend,5,0.7175400000000001,0.0067600295857340904,0.7047599999999999,0.02403597304042423,0.012780000000000036,0.017889018978132932
cifar_noisy,none,5,0.62192,0.009042787180952574,0.556,0.005781868210189528,0.06592,0.007173004949113031
cifar_noisy,trend,5,0.61266,0.015739853874798176,0.5515800000000001,0.006642815668073273,0.06107999999999998,0.011077544854343823
sst2,none,5,0.9105504587155963,0.005317441797875984,0.9013761467889908,0.004797362537466017,0.009174311926605495,0.007161694952291738
sst2,trend,5,0.9103211009174312,0.005463820756684237,0.9025229357798165,0.010289196356035774,0.007798165137614688,0.006143621667880224
