setting,variant,n,best_mean,best_std,final_mean,final_std,drop_mean,drop_std
cifar_clean,0p0,5,0.72092,0.0017880156598866644,0.69016,0.03410935355587967,0.03076000000000001,0.03581972920053976
cifar_clean,0p1,5,0.72056,0.0024089416763384084,0.71222,0.0057599479164311945,0.008340000000000014,0.006754109859929746
cifar_noisy,0p0,5,0.62192,0.009042787180952574,0.556,0.005781868210189528,0.06592,0.007173004949113031
cifar_noisy,0p1,5,0.62232,0.009510625636623506,0.55448,0.00993715250964784,0.06783999999999998,0.007241063457807861
