setting_label,seed,optimizer_label,variant_label,selected_epoch,val_acc,corr_noisy,corr_clean,train_clean
Sym. 40\%,2,\adamw{},Cosine + \method{},17,0.5469,0.01505,0.5386,0.6925666666666667
Sym. 40\%,2,\sgdm{},Baseline,20,0.4895,0.0244,0.4604,0.6482666666666667
Sym. 40\%,2,\sgdm{},\method{},23,0.559,0.0282,0.5294,0.7536666666666667
Sym. 40\%,2,\sgdm{},Cosine,20,0.5338,0.03545,0.5106,0.7491666666666666
Sym. 40\%,2,\sgdm{},Cosine + \method{},25,0.55,0.05545,0.51255,0.8005333333333333
Sym. 40\%,3,\adamw{},Baseline,15,0.5061,0.0254,0.4822,0.6713666666666667
Sym. 40\%,3,\adamw{},\method{},20,0.5412,0.0446,0.5143,0.7621333333333333
Sym. 40\%,3,\adamw{},Cosine,16,0.5393,0.01795,0.52945,0.6941666666666667
Sym. 40\%,3,\adamw{},Cosine + \method{},20,0.5491,0.0223,0.53675,0.7176
Sym. 40\%,3,\sgdm{},Baseline,19,0.5082,0.02165,0.48185,0.6604333333333333
Sym. 40\%,3,\sgdm{},\method{},22,0.5547,0.0207,0.5323,0.7158
Sym. 40\%,3,\sgdm{},Cosine,19,0.5433,0.0266,0.52825,0.7364666666666667
Sym. 40\%,3,\sgdm{},Cosine + \method{},29,0.5285,0.1674,0.4246,0.8757333333333334
Sym. 40\%,4,\adamw{},Baseline,14,0.5209,0.0213,0.50095,0.6638333333333334
Sym. 40\%,4,\adamw{},\method{},16,0.5459,0.01675,0.53385,0.6810333333333334
Sym. 40\%,4,\adamw{},Cosine,16,0.5469,0.01975,0.5326,0.6949666666666666
Sym. 40\%,4,\adamw{},Cosine + \method{},19,0.5459,0.01855,0.5403,0.6912
Sym. 40\%,4,\sgdm{},Baseline,22,0.5017,0.0388,0.46165,0.6908666666666666
Sym. 40\%,4,\sgdm{},\method{},28,0.5624,0.06635,0.49865,0.8069
Sym. 40\%,4,\sgdm{},Cosine,19,0.5571,0.02565,0.54005,0.7308
Sym. 40\%,4,\sgdm{},Cosine + \method{},25,0.5578,0.0496,0.52355,0.7952666666666667
