label,n,best_val_accuracy_mean,best_val_accuracy_std,final_val_accuracy_mean,final_val_accuracy_std,drop_best_to_final_mean,drop_best_to_final_std,best_epoch_mean,best_epoch_std,tflops_to_best_mean,tflops_to_best_std,total_tflops_mean,total_tflops_std,time_to_best_mean,time_to_best_std,total_time_mean,total_time_std
AdamW,5,0.92715,0.002219234102117209,0.9012166666666667,0.005676645625327993,0.02593333333333332,0.006895902567628265,1.8,0.8366600265340756,2407.760630710272,1119.2440277602345,6689.925439522406,5.148009857083544,211.65808739531786,97.63192643742408,587.3685857182369,2.8371368247724167
AdamW + warmup-linear,5,0.9319000000000001,0.0018572306145321828,0.9078833333333334,0.0016515985522450012,0.024016666666666686,0.0028157542901010263,2.0,0.0,2675.3533704781826,2.9614054642754457,6689.925439522406,5.148009857083544,239.46094838622957,0.4283768153434949,591.1595573939383,1.1881802216427741
AEES-Dual,5,0.9332166666666667,0.0012084770029531808,0.9285166666666667,0.005466882617685818,0.004699999999999993,0.005630583648452634,4.4,0.5477225575051661,5887.468672352256,731.5052823186437,6689.925439522406,5.148009857083544,648.9024053705856,81.06628571537321,736.4499625762925,2.51897655697528
AEES-LR + warmup-linear,5,0.9272333333333334,0.002021928397457356,0.91535,0.0012337837015547785,0.011883333333333312,0.0024766969491195,2.6,0.5477225575051661,3478.341543164314,733.9997373926882,6689.925439522406,5.148009857083544,366.6375191476196,76.65085351224761,701.5408169576898,1.2155402545084943
AEES-Noise + warmup-linear,5,0.93465,0.0009490492318338832,0.93455,0.001025033874779027,0.00010000000000001119,0.000223606797750004,4.6,0.8944271909999159,6154.463936009011,1194.441141780936,6689.925439522406,5.148009857083544,677.9937734631822,131.14843887390063,736.3575684659183,3.174668398940307
AEES-Dual + warmup-linear,5,0.9355333333333333,0.0007420878953631136,0.93505,0.0008612007121842566,0.0004833333333333467,0.000712974987873602,4.6,0.5477225575051661,6154.147695191655,729.3418623415424,6689.925439522406,5.148009857083544,678.5257325377315,81.35940607256245,737.2910211449489,5.274433608864268
