label,n,best_val_accuracy_mean,best_val_accuracy_std,final_val_accuracy_mean,final_val_accuracy_std,drop_best_to_final_mean,drop_best_to_final_std,best_epoch_mean,best_epoch_std,tflops_to_best_mean,tflops_to_best_std,total_tflops_mean,total_tflops_std,time_to_best_mean,time_to_best_std,total_time_mean,total_time_std
AdamW,5,0.9398,0.0014726676475023315,0.9352333333333334,0.0025037471917108583,0.004566666666666675,0.0031376964303273256,2.0,0.7071067811865476,2675.247090755174,944.7055377876807,6689.925439522406,5.148009857083544,272.5404276853427,96.4640079454612,700.7319991763682,7.372964970345484
AdamW + warmup-linear,5,0.9444166666666667,0.0008700255424091911,0.94355,0.001603598384190297,0.00086666666666666,0.0013051713382626143,4.4,0.5477225575051661,5887.353180522086,731.1893032366019,6689.925439522406,5.148009857083544,605.5920064145699,72.04142814526655,686.5544044313953,15.996638989509922
AEES-Dual,5,0.9440000000000001,0.0013731047544403557,0.9412333333333334,0.002668228709171033,0.002766666666666673,0.0027432999187920514,4.2,0.8366600265340756,5619.072366895104,1116.2842342120005,6689.925439522406,5.148009857083544,810.5625940777361,154.72115918349067,959.0020505873487,39.0190759795057
AEES-Dual + warmup-linear,5,0.9438,0.0005355423004353026,0.94345,0.0010079544742805757,0.00035000000000000585,0.0007826237921249395,4.2,1.0954451150103321,5619.622150176769,1466.6296590924073,6689.925439522406,5.148009857083544,752.9200422784313,200.9599191325767,901.588487193361,48.240422378967814
