condition,tag,n,seeds,noise_candidates,lr_candidates,peak_mean_pct,peak_std_pct,final_mean_pct,final_std_pct,gap_pp
No gradient noise,lronly,5,0 1 2 3 4,0.0,0.5 1.0 2.0,61.2780,1.5861,54.0440,2.8481,7.2340
Gradient-noise injection,smallnoise,5,0 1 2 3 4,0.0 0.0025 0.005,0.5 1.0 2.0,56.7240,2.2473,52.0180,3.1051,4.7060
