method,n,best_val_mean,best_val_std,final_val_mean,final_val_std,drop_val_mean,drop_val_std,peak_epoch_mean,peak_epoch_std
AEES,5,0.72092,0.0017880156598866644,0.69016,0.03410935355587967,0.03076000000000001,0.03581972920053976,124.0,30.397368307141328
AEES + Cosine,5,0.7275,0.0031200961523645395,0.7265,0.0030058276730378047,0.001000000000000023,0.0005147815070493742,186.8,11.497825881443848
AEES + Linear,5,0.72928,0.003058921378525416,0.72712,0.0035344023540055365,0.0021600000000000065,0.0007300684899377677,190.0,10.88577052853862
AdamW,5,0.70306,0.0018676188047886233,0.69646,0.00489264754504146,0.006600000000000006,0.003560898762952973,188.6,10.358571330062848
AdamW + Cosine,5,0.72754,0.0026235472170326912,0.72548,0.0024570307283385594,0.0020600000000000175,0.00069137544069777,190.4,7.700649323271382
AdamW + Linear,5,0.72596,0.0023383755044902262,0.72448,0.0027833433133553813,0.0014799999999999924,0.0009679876032264171,196.4,4.774934554525329
Fixed 0.5,5,0.71042,0.0033297147024932876,0.70286,0.004961149060449598,0.007560000000000011,0.005360317154795994,169.0,19.77371993328519
Fixed 1.0,5,0.70306,0.0018676188047886233,0.69646,0.00489264754504146,0.006600000000000006,0.003560898762952973,188.6,10.358571330062848
Fixed 2.0,5,0.6907800000000001,0.007315531422938467,0.68018,0.004627310233818354,0.010600000000000031,0.003804602475949352,167.2,31.099839227880263
