task,optimizer,method,n,best_val_mean,best_val_std,final_val_mean,final_val_std,drop_val_mean,drop_val_std,peak_epoch_mean,peak_epoch_std,corr_noisy_mean,corr_noisy_std,corr_clean_mean,corr_clean_std,train_clean_mean,train_clean_std
asym20,AdamW,Baseline,5,0.58446,0.0037447296297596524,0.5625,0.008146778504415104,0.021960000000000025,0.010397740139087902,17.4,1.51657508881031,0.98686,0.003191864658784912,0.008539999999999999,0.0016272676485446394,0.99358,0.0013373714891532333
asym20,AdamW,AEES,5,0.61688,0.006712078664616516,0.57966,0.008643668202794465,0.03722000000000001,0.0039002564018279437,17.8,2.4899799195977463,0.99346,0.004362109581383741,0.00504,0.0030996774025695,0.996985,0.001815867561250008
asym20,AdamW,Cosine,5,0.60224,0.0063445251989412196,0.6003999999999999,0.006510376333208375,0.0018400000000000194,0.00088769364084686,187.0,10.295630140987,0.9997,7.071067811864696e-05,0.0001,7.071067811865475e-05,0.999775,3.9528470752100385e-05
asym20,AdamW,Cosine + AEES,5,0.62146,0.0059777085910907276,0.59842,0.0028234730386529046,0.023040000000000015,0.007253481922497608,18.8,3.1144823004794873,0.99954,0.00016733200530684312,0.00022,4.4721359549995775e-05,0.999795,7.373940601875688e-05
asym20,SGD,Baseline,5,0.5728800000000001,0.008875359147662711,0.51944,0.015781254702969615,0.05344000000000002,0.012817097955465572,20.2,3.5637059362410923,0.8208,0.020351289885410205,0.10892,0.00923293019577209,0.90063,0.015094477466941368
asym20,SGD,AEES,5,0.62538,0.002847279403219867,0.58356,0.012156191837907114,0.04182000000000001,0.009624292181765842,22.8,4.604345773288535,0.94454,0.01743826252813052,0.04426,0.012215891289627622,0.977365,0.00972231003928592
asym20,SGD,Cosine,5,0.63256,0.003743394181755383,0.63104,0.004304997096398564,0.001519999999999988,0.001143241006962221,190.0,7.314369419163897,0.9994999999999999,0.00020000000000003348,0.00024,0.0001140175425099138,0.99978,2.738612787524009e-05
asym20,SGD,Cosine + AEES,5,0.627,0.005780570906061102,0.62462,0.005407124929202225,0.0023800000000000045,0.0011562871615649793,89.2,92.50243240045096,0.9993,0.00018708286933870615,0.00044,0.00011401754250991379,0.99975,6.373774391992457e-05
sym20,AdamW,Baseline,5,0.58594,0.004602499321021136,0.54116,0.006957226458869928,0.04478000000000002,0.006053676568829842,16.8,0.8366600265340756,0.9861,0.0012328828005937834,0.007520000000000001,0.001181947545367391,0.99321,0.0005401388710322396
sym20,AdamW,AEES,5,0.62192,0.009042787180952574,0.556,0.005781868210189528,0.06592,0.007173004949113031,18.4,3.847076812334269,0.98886,0.005135951713168634,0.00682,0.002840246468178422,0.99522,0.002323144420822785
sym20,AdamW,Cosine,5,0.58618,0.004304300175405992,0.58038,0.006956076480315623,0.005800000000000005,0.0046421977553740435,51.8,79.50597461826375,0.99952,0.00022803508501985603,0.00024,0.000151657508881031,0.99979,2.850438562746557e-05
sym20,AdamW,Cosine + AEES,5,0.62014,0.009378326076651431,0.58366,0.005433967243184306,0.03647999999999998,0.008098580122465908,19.2,2.16794833886788,0.99938,0.00016431676725158916,0.00034,0.000151657508881031,0.99977,3.2596012026026684e-05
sym20,SGD,Baseline,5,0.57044,0.007136735948597194,0.48644,0.01606916301491773,0.08399999999999999,0.015331014317389436,19.0,1.5811388300841898,0.80676,0.024569147319351586,0.07592,0.007817096647733095,0.90277,0.021915344224994485
sym20,SGD,AEES,5,0.6248400000000001,0.004976745924798654,0.5642,0.006974238309665064,0.06064000000000003,0.009956304535318324,24.4,3.286335345030997,0.86648,0.13236624191990948,0.07058,0.0671076150671442,0.968305,0.02303479976036258
sym20,SGD,Cosine,5,0.62222,0.004054257021946197,0.62042,0.00439852247919682,0.0017999999999999794,0.0009433981132056094,171.4,15.076471735787521,0.99948,0.00022803508501985847,0.00028,0.00017888543819998318,0.99977,4.1079191812879556e-05
sym20,SGD,Cosine + AEES,5,0.6307,0.00744311762637137,0.61434,0.0027736257858622547,0.01636000000000002,0.006060775527933718,26.2,2.7748873851023217,0.99936,0.0001673320053068365,0.0003,0.0001224744871391589,0.999705,4.808846015418461e-05
sym40,AdamW,Baseline,5,0.51676,0.006208703568378831,0.38064,0.0012300406497347868,0.13612,0.0064001562480927076,15.8,1.4832396974191326,0.985,0.0019326148090087765,0.00536,0.000866314030822542,0.9902266666666667,0.0010449348730370255
sym40,AdamW,AEES,5,0.55018,0.011197633678594767,0.39912000000000003,0.011963778667294053,0.15106,0.017040921336594426,18.0,1.5811388300841898,0.98486,0.010031600071773204,0.005569999999999999,0.0034622247182989146,0.9911333333333333,0.006366797555373598
sym40,AdamW,Cosine,5,0.51718,0.0077328519965146015,0.42224,0.004958124645468269,0.09494000000000002,0.01092327789630932,16.0,0.7071067811865476,0.99951,8.21583836258233e-05,0.00019,8.944271909999158e-05,0.9997333333333334,6.236095644622549e-05
sym40,AdamW,Cosine + AEES,5,0.5472400000000001,0.007772580009237612,0.42522,0.013709376353430523,0.12202000000000002,0.011236191525601557,18.6,1.51657508881031,0.99935,0.000231840462387391,0.00028,0.00018907670401189033,0.9996266666666667,0.00010381607668263814
sym40,SGD,Baseline,5,0.50074,0.008139594584498656,0.33788,0.012252224287858922,0.16286,0.010947511132673001,20.4,1.51657508881031,0.7802,0.010818387125630154,0.059800000000000006,0.005118593556827891,0.8671666666666666,0.015144947819139037
sym40,SGD,AEES,5,0.55628,0.009857839519894818,0.39668000000000003,0.038377688830881926,0.15960000000000002,0.040185009642900435,25.0,2.5495097567963922,0.7634,0.33945023199285046,0.07482,0.09191775263788818,0.88682,0.18006186683717595
sym40,SGD,Cosine,5,0.5011,0.01113552872566004,0.46865999999999997,0.007713170554318118,0.032440000000000024,0.009714576676314817,18.6,1.51657508881031,0.99947,0.00011510864433225134,0.00021,5.47722557505166e-05,0.9996666666666667,7.817359599704855e-05
sym40,SGD,Cosine + AEES,5,0.55996,0.008908030085265773,0.4629,0.006024948132556832,0.09706000000000001,0.00474478661269399,25.6,1.949358868961793,0.9993299999999999,0.000135092560861083,0.00026,4.183300132670376e-05,0.9995733333333333,0.00015881505666097323
