task,optimizer,best_fixed_method,best_fixed_best,best_fixed_final,best_fixed_drop,aees_best,aees_final,aees_drop,cosine_best,cosine_final,cosine_drop,cosine_aees_best,cosine_aees_final,cosine_aees_drop
asym20,AdamW,Fixed 1.0,0.58446,0.5625,0.021960000000000025,0.61688,0.57966,0.03722000000000001,0.60224,0.6003999999999999,0.0018400000000000194,0.62146,0.59842,0.023040000000000015
asym20,SGD,Fixed 0.5,0.57468,0.53294,0.04174000000000002,0.62538,0.58356,0.04182000000000001,0.63256,0.63104,0.001519999999999988,0.627,0.62462,0.0023800000000000045
sym20,AdamW,Fixed 0.5,0.58796,0.54364,0.044320000000000026,0.62192,0.556,0.06592,0.58618,0.58038,0.005800000000000005,0.62014,0.58366,0.03647999999999998
sym20,SGD,Fixed 0.5,0.57446,0.50614,0.06832000000000003,0.6248400000000001,0.5642,0.06064000000000003,0.62222,0.62042,0.0017999999999999794,0.6307,0.61434,0.01636000000000002
sym40,AdamW,Fixed 0.5,0.52484,0.39014,0.13470000000000001,0.55018,0.39912000000000003,0.15106,0.51718,0.42224,0.09494000000000002,0.5472400000000001,0.42522,0.12202000000000002
sym40,SGD,Fixed 0.5,0.5084799999999999,0.34896,0.15952,0.55628,0.39668000000000003,0.15960000000000002,0.5011,0.46865999999999997,0.032440000000000024,0.55996,0.4629,0.09706000000000001
